Field1,Field2,Field3
6-50-23-01/1-0019,วิสาหกิจชุมชนสปริงเฮอร์บอลส์,"
                                        61/4  หมู่ 5  ต.ออนเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0846139950 
                                    "
6-50-23-01/1-0020,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้ปลูกกาแฟและแปรรูปกาแฟบ้านขุนทา ม.9,"
                                        37  หมู่ 9  ต.ออนเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 053317141 
                                    "
6-50-23-01/1-0023,วิสาหกิจชุมชนกลุ่มเกษตรกรผสมผสานบ้านดอนทราย,"
                                        89/1  หมู่ 8  ต.ออนเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0869140982 
                                    "
6-50-23-01/1-0024,วิสาหกิจชุมชนกลุ่มเกษตรกรผสมผสานบ้านหนองหอย,"
                                        14/1  หมู่ 2  ต.ออนเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0897008546 
                                    "
6-50-23-01/1-0027,วิสาหกิจชุมชนสมุนไพรเชิงสุขภาพแม่ออน,"
                                        164/1  หมู่ 6  ต.ออนเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0819615262 
                                    "
6-50-23-01/1-0028,วิสาหกิจชุมชนผลิตพืชสมุนไพรเชิงพาณิชย์ตำบลออนเหนือ,"
                                        52  หมู่ 7  ต.ออนเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0803807330 
                                    "
6-50-23-01/1-0029,วิสาหกิจชุมชนร่วมใจพัฒนาการเกษตรบ้านดอนทราย1,"
                                        43/1  หมู่ 8  ต.ออนเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0654033573 
                                    "
6-50-23-02/1-0008,วิสาหกิจชุมชนกลุ่มหัตถกรรมแปรรูปผ้าฝ้าย,"
                                        38  หมู่ 8  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 053859600 
                                    "
6-50-23-02/1-0022,วิสาหกิจชุมชนผู้ปลูกพืชอาหารสัตว์และพืชพลังงาน,"
                                        16/8  หมู่ 10  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-23-02/1-0025,วิสาหกิจชุมชนผลิตพืชสมุนไพรเชิงพาณิชย์ตำบลออนกลาง,"
                                        71/7  หมู่ 9  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0952655145 
                                    "
6-50-23-02/1-0026,วิสาหกิจชุมชนผลิตพืชสมุนไพรเชิงพาณิชย์บ้านเปาสามขา,"
                                        11/1  หมู่ 3  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0918525079 
                                    "
6-50-23-02/1-0027,วิสาหกิจชุมชนผลิตพืชสมุนไพรเชิงพาณิชย์แม่ออน93,"
                                        95  หมู่ 8  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0948239985 
                                    "
6-50-23-02/1-0028,วิสาหกิจชุมชนผลิตพืชสมุนไพรเชิงพาณิชย์บ้านแม่เลน,"
                                        22/4  หมู่ 2  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0951088473 
                                    "
6-50-23-02/1-0029,วิสาหกิจชุมชนวิถีพอเพียงแม่ออน,"
                                        84/4  หมู่ 1  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0817706416 
                                    "
6-50-23-02/1-0030,วิสาหกิจชุมชนกลุ่มเงินออมเพื่อการพัฒนาคุณภาพชีวิต,"
                                        59/4  หมู่ 10  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0616848291 
                                    "
6-50-23-02/1-0031,วิสาหกิจชุมชนO.K. Beef,"
                                        90/1  หมู่ 6  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0892612387 
                                    "
6-50-23-02/1-0032,วิสาหกิจชุมชนHerb for life,"
                                        30/4  หมู่ 11  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0951421988 
                                    "
6-50-23-02/1-0033,วิสาหกิจชุมชนเกษตรออนกลาง,"
                                        51/1  หมู่ 7  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0867301038 
                                    "
6-50-23-02/1-0034,วิสาหกิจชุมชนแม่ออนสมาร์ทฟาร์มมิ่ง,"
                                        3/1  หมู่ 3  ต.ออนกลาง  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0952655145 
                                    "
6-50-23-03/1-0001,วิสาหกิจชุมชนกลุ่มหัตถกรรมแม่ออน,"
                                        85/2  หมู่ 2  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0896330784 
                                    "
6-50-23-03/1-0004,วิสาหกิจชุมชนเกษตรกรพัฒนาธุรกิจ,"
                                        49/5  หมู่ 1  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0891092539 
                                    "
6-50-23-03/1-0020,วิสาหกิจชุมชนชาออน (หมอนสุขภาพใบชา),"
                                        85/4  หมู่ 2  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0832028792 
                                    "
6-50-23-03/1-0023,วิสาหกิจชุมชนกลุ่มบ้านดิน,"
                                        15/1  หมู่ 1  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0895554369 
                                    "
6-50-23-03/1-0025,วิสาหกิจชุมชนกลุ่มน้ำดื่มชุมชนสหกรณ์ 1,"
                                        5/1  หมู่ 1  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0861157765 
                                    "
6-50-23-03/1-0034,วิสาหกิจชุมชนกลุ่มเพาะเห็ดฟางบ้านสหกรณ์ 3,"
                                        29/2  หมู่ 3  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0811697413 
                                    "
6-50-23-03/1-0036,วิสาหกิจชุมชนกลุ่มสมุนไพรและภูมิปัญญาท้องถิ่นบ้านสหกรณ์,"
                                        115/4  หมู่ 2  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0861957357 
                                    "
6-50-23-03/1-0041,วิสาหกิจชุมชนน้ำดื่มเอ็นแอนด์เอ็น,"
                                        65/1  หมู่ 4  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0921869233 
                                    "
6-50-23-03/1-0042,วิสาหกิจชุมชนเกษตรอินทร์บ้านสหกรณ์,"
                                        19  หมู่ 1  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0861157765 
                                    "
6-50-23-03/1-0043,วิสาหกิจชุมชนผลิตพืชสมุนไพรเพื่อการแพทย์และเพื่อการค้าอ.แม่ออน,"
                                        19  หมู่ 7  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0979879524 
                                    "
6-50-23-03/1-0044,วิสาหกิจชุมชนกลุ่มโคเนื้อสหกรณ์1,"
                                        54/1  หมู่ 1  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0869215601 
                                    "
