RegisterNo,ProvinceID,AmphurID,Name,Address
6-50-02-03/1-0018,50,02,วิสาหกิจชุมชนกลุ่มบริการการท่องเที่ยวโดยชุมชน,"
                                        81/1  หมู่ 22  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0861932927 
                                    "
6-50-02-03/1-0027,50,02,วิสาหกิจชุมชนกลุ่มเย็บผ้าสตรีแม่บ้านตาดมื่น,"
                                        157/1  หมู่ 16  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0844853672 
                                    "
6-50-02-03/1-0029,50,02,วิสาหกิจชุมชนกลุ่มร้านค้าสวัสดิการคริสตจักรขุนกลาง,"
                                        78  หมู่ 7  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0833253042 
                                    "
6-50-02-03/1-0047,50,02,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้ผลิตสินค้าเกษตรไร้สารเคมี,"
                                        305/3  หมู่ 20  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0857238313 
                                    "
6-50-02-03/1-0048,50,02,วิสาหกิจชุมชนกลุ่มผู้ผลิตลำไยนอกฤดูบ้านแท่นคำ,"
                                        61  หมู่ 1  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053826111 
                                    "
6-50-02-03/1-0049,50,02,วิสาหกิจชุมชนกลุ่มบ้านเมืองอาง,"
                                        98  หมู่ 9  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0857238510 
                                    "
6-50-02-03/1-0050,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาอาชีพเกษตรกรรมเทศบาลตำบลจอมทอง,"
                                        299  หมู่ 4  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-03/1-0052,50,02,วิสาหกิจชุมชนกลุ่มผลิตลำไยคุณภาพบ้านเมืองกลาง,"
                                        94  หมู่ 11  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0819921727 
                                    "
6-50-02-03/1-0053,50,02,วิสาหกิจชุมชนกลุ่มผู้ผลิตถั่วลิสงผักสดบ้านตาดมื่น,"
                                        214  หมู่ 16  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-03/1-0054,50,02,วิสาหกิจชุมชนอ่างกาฟรอเรสท์วิว,"
                                        51  หมู่ 17  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0871126216 
                                    "
